,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,last_fico_range_high,last_fico_range_low,pub_rec_bankruptcies,debt_settlement_flag
1,5000.0,5000.0,4975.0, 36 months, 10.65%,162.87,B,B2,10+ years,RENT,24000.0,Verified,Dec-2011,Fully Paid,credit_card,AZ,27.65,0.0,1985-01-01 00:00:00,735.0,739.0,1.0,3.0,0.0,13648.0,83.7,739.0,735.0,0.0,N
2,2500.0,2500.0,2500.0, 60 months, 15.27%,59.83,C,C4,< 1 year,RENT,30000.0,Source Verified,Dec-2011,Charged Off,car,GA,1.0,0.0,1999-04-01 00:00:00,740.0,744.0,5.0,3.0,0.0,1687.0,9.4,499.0,0.0,0.0,N
3,2400.0,2400.0,2400.0, 36 months, 15.96%,84.33,C,C5,10+ years,RENT,12252.0,Not Verified,Dec-2011,Fully Paid,small_business,IL,8.72,0.0,2001-11-01 00:00:00,735.0,739.0,2.0,2.0,0.0,2956.0,98.5,739.0,735.0,0.0,N
4,10000.0,10000.0,10000.0, 36 months, 13.49%,339.31,C,C1,10+ years,RENT,49200.0,Source Verified,Dec-2011,Fully Paid,other,CA,20.0,0.0,1996-02-01 00:00:00,690.0,694.0,1.0,10.0,0.0,5598.0,21.0,604.0,600.0,0.0,N
5,3000.0,3000.0,3000.0, 60 months, 12.69%,67.79,B,B5,1 year,RENT,80000.0,Source Verified,Dec-2011,Fully Paid,other,OR,17.94,0.0,1996-01-01 00:00:00,695.0,699.0,0.0,15.0,0.0,27783.0,53.9,684.0,680.0,0.0,N
6,5000.0,5000.0,5000.0, 36 months,  7.90%,156.46,A,A4,3 years,RENT,36000.0,Source Verified,Dec-2011,Fully Paid,wedding,AZ,11.2,0.0,2004-11-01 00:00:00,730.0,734.0,3.0,9.0,0.0,7963.0,28.3,564.0,560.0,0.0,N
7,7000.0,7000.0,7000.0, 60 months, 15.96%,170.08,C,C5,8 years,RENT,47004.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,NC,23.51,0.0,2005-07-01 00:00:00,690.0,694.0,1.0,7.0,0.0,17726.0,85.6,654.0,650.0,0.0,N
8,3000.0,3000.0,3000.0, 36 months, 18.64%,109.43,E,E1,9 years,RENT,48000.0,Source Verified,Dec-2011,Fully Paid,car,CA,5.35,0.0,2007-01-01 00:00:00,660.0,664.0,2.0,4.0,0.0,8221.0,87.5,689.0,685.0,0.0,N
9,5600.0,5600.0,5600.0, 60 months, 21.28%,152.39,F,F2,4 years,OWN,40000.0,Source Verified,Dec-2011,Charged Off,small_business,CA,5.55,0.0,2004-04-01 00:00:00,675.0,679.0,2.0,11.0,0.0,5210.0,32.6,499.0,0.0,0.0,N
10,5375.0,5375.0,5350.0, 60 months, 12.69%,121.45,B,B5,< 1 year,RENT,15000.0,Verified,Dec-2011,Charged Off,other,TX,18.08,0.0,2004-09-01 00:00:00,725.0,729.0,0.0,2.0,0.0,9279.0,36.5,504.0,500.0,0.0,N
11,6500.0,6500.0,6500.0, 60 months, 14.65%,153.45,C,C3,5 years,OWN,72000.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,AZ,16.12,0.0,1998-01-01 00:00:00,695.0,699.0,2.0,14.0,0.0,4032.0,20.6,779.0,775.0,0.0,N
12,12000.0,12000.0,12000.0, 36 months, 12.69%,402.54,B,B5,10+ years,OWN,75000.0,Source Verified,Dec-2011,Fully Paid,debt_consolidation,CA,10.78,0.0,1989-10-01 00:00:00,675.0,679.0,0.0,12.0,0.0,23336.0,67.1,669.0,665.0,0.0,N
13,9000.0,9000.0,9000.0, 36 months, 13.49%,305.38,C,C1,< 1 year,RENT,30000.0,Source Verified,Dec-2011,Charged Off,debt_consolidation,VA,10.08,0.0,2004-04-01 00:00:00,710.0,714.0,1.0,4.0,0.0,10452.0,91.7,619.0,615.0,0.0,N
14,3000.0,3000.0,3000.0, 36 months,  9.91%,96.68,B,B1,3 years,RENT,15000.0,Source Verified,Dec-2011,Fully Paid,credit_card,IL,12.56,0.0,2003-07-01 00:00:00,705.0,709.0,2.0,11.0,0.0,7323.0,43.1,799.0,795.0,0.0,N
15,10000.0,10000.0,10000.0, 36 months, 10.65%,325.74,B,B2,3 years,RENT,100000.0,Source Verified,Dec-2011,Charged Off,other,CA,7.06,0.0,1991-05-01 00:00:00,720.0,724.0,2.0,14.0,0.0,11997.0,55.5,654.0,650.0,0.0,N
16,1000.0,1000.0,1000.0, 36 months, 16.29%,35.31,D,D1,< 1 year,RENT,28000.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,MO,20.31,0.0,2007-09-01 00:00:00,665.0,669.0,1.0,11.0,0.0,6524.0,81.5,694.0,690.0,0.0,N
17,10000.0,10000.0,10000.0, 36 months, 15.27%,347.98,C,C4,4 years,RENT,42000.0,Not Verified,Dec-2011,Fully Paid,home_improvement,CA,18.6,0.0,1998-10-01 00:00:00,670.0,674.0,2.0,14.0,0.0,24043.0,70.2,644.0,640.0,0.0,N
18,3600.0,3600.0,3600.0, 36 months,  6.03%,109.57,A,A1,10+ years,MORTGAGE,110000.0,Not Verified,Dec-2011,Fully Paid,major_purchase,CT,10.52,0.0,1993-08-01 00:00:00,760.0,764.0,0.0,20.0,0.0,22836.0,16.0,794.0,790.0,0.0,N
19,6000.0,6000.0,6000.0, 36 months, 11.71%,198.46,B,B3,1 year,MORTGAGE,84000.0,Verified,Dec-2011,Fully Paid,medical,UT,18.44,2.0,2003-10-01 00:00:00,685.0,689.0,0.0,4.0,0.0,0.0,37.73,559.0,555.0,0.0,N
20,9200.0,9200.0,9200.0, 36 months,  6.03%,280.01,A,A1,6 years,RENT,77385.19,Not Verified,Dec-2011,Fully Paid,debt_consolidation,CA,9.86,0.0,2001-01-01 00:00:00,755.0,759.0,0.0,8.0,0.0,7314.0,23.1,644.0,640.0,0.0,N
21,20250.0,20250.0,19142.16107714741, 60 months, 15.27%,484.63,C,C4,3 years,RENT,43370.0,Verified,Dec-2011,Fully Paid,debt_consolidation,TX,26.53,0.0,1997-11-01 00:00:00,725.0,729.0,3.0,8.0,0.0,17813.0,85.6,684.0,680.0,0.0,N
22,21000.0,21000.0,21000.0, 36 months, 12.42%,701.73,B,B4,10+ years,RENT,105000.0,Verified,Dec-2011,Charged Off,debt_consolidation,FL,13.22,0.0,1983-02-01 00:00:00,705.0,709.0,0.0,7.0,0.0,32135.0,90.3,534.0,530.0,0.0,N
23,10000.0,10000.0,10000.0, 36 months, 11.71%,330.76,B,B3,10+ years,OWN,50000.0,Source Verified,Dec-2011,Fully Paid,credit_card,TX,11.18,0.0,1985-07-01 00:00:00,690.0,694.0,0.0,8.0,0.0,10056.0,82.4,774.0,770.0,0.0,N
24,10000.0,10000.0,10000.0, 36 months, 11.71%,330.76,B,B3,5 years,RENT,50000.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,CA,16.01,0.0,2003-04-01 00:00:00,710.0,714.0,0.0,6.0,0.0,17800.0,91.8,684.0,680.0,0.0,N
25,6000.0,6000.0,6000.0, 36 months, 11.71%,198.46,B,B3,1 year,RENT,76000.0,Not Verified,Dec-2011,Charged Off,major_purchase,CA,2.4,0.0,2001-06-01 00:00:00,690.0,694.0,1.0,7.0,0.0,5963.0,29.7,499.0,0.0,0.0,N
26,15000.0,15000.0,15000.0, 36 months,  9.91%,483.38,B,B1,2 years,MORTGAGE,92000.0,Verified,Dec-2011,Fully Paid,credit_card,IL,29.44,0.0,2002-02-01 00:00:00,730.0,734.0,0.0,8.0,0.0,13707.0,93.9,734.0,730.0,0.0,N
27,15000.0,15000.0,8725.0, 36 months, 14.27%,514.64,C,C2,9 years,RENT,60000.0,Not Verified,Dec-2011,Charged Off,debt_consolidation,NY,15.22,0.0,2003-10-01 00:00:00,695.0,699.0,1.0,7.0,0.0,5872.0,57.6,509.0,505.0,0.0,N
28,5000.0,5000.0,5000.0, 60 months, 16.77%,123.65,D,D2,2 years,RENT,50004.0,Not Verified,Dec-2011,Charged Off,other,PA,13.97,3.0,2003-10-01 00:00:00,675.0,679.0,0.0,14.0,0.0,4345.0,59.5,579.0,575.0,0.0,N
29,4000.0,4000.0,4000.0, 36 months, 11.71%,132.31,B,B3,10+ years,MORTGAGE,106000.0,Not Verified,Dec-2011,Fully Paid,debt_consolidation,FL,5.63,1.0,1984-08-01 00:00:00,680.0,684.0,0.0,12.0,0.0,6110.0,37.7,719.0,715.0,0.0,N
30,8500.0,8500.0,8500.0, 36 months, 11.71%,281.15,B,B3,< 1 year,RENT,25000.0,Source Verified,Dec-2011,Fully Paid,credit_card,MN,12.19,0.0,2006-11-01 00:00:00,695.0,699.0,0.0,8.0,0.0,6441.0,59.1,599.0,595.0,0.0,N
31,4375.0,4375.0,4375.0, 36 months,  7.51%,136.11,A,A3,7 years,MORTGAGE,17108.0,Source Verified,Dec-2011,Fully Paid,debt_consolidation,NY,20.34,0.0,1987-12-01 00:00:00,735.0,739.0,0.0,6.0,0.0,11210.0,86.9,674.0,670.0,0.0,N
32,31825.0,31825.0,31825.0, 36 months,  7.90%,995.82,A,A4,5 years,MORTGAGE,75000.0,Verified,Dec-2011,Fully Paid,debt_consolidation,NJ,14.03,0.0,1981-11-01 00:00:00,760.0,764.0,0.0,12.0,0.0,23151.0,27.4,684.0,680.0,0.0,N
33,10000.0,10000.0,9975.0, 60 months, 15.96%,242.97,C,C5,2 years,RENT,29120.0,Verified,Dec-2011,Fully Paid,debt_consolidation,FL,22.83,0.0,1997-02-01 00:00:00,690.0,694.0,1.0,11.0,0.0,16158.0,63.6,574.0,570.0,0.0,N
34,5000.0,5000.0,5000.0, 36 months,  8.90%,158.77,A,A5,2 years,RENT,24044.0,Verified,Dec-2011,Fully Paid,debt_consolidation,OR,11.93,0.0,2005-04-01 00:00:00,700.0,704.0,0.0,8.0,0.0,2224.0,29.3,684.0,680.0,0.0,N
